TreeRepresentative	ClusterID	GenomeID	Contig	ID	strand	start	end	DefenseSystem	Feature_type	gene	genomad_specificity_class	HMM_Annot_IDs	product_description	PlotLabel	fill
WP_145971926.1	IV	GCF_000009685.1	NC_003366.1	WP_003455617.1	+	461602	462561	NA	CDS	pfkA	NA	PF00365	6-phosphofructokinase	pfkA	else
WP_145971926.1	IV	GCF_000009685.1	NC_003366.1	WP_003455626.1	+	462655	464058	NA	CDS	pyk	NA	PF00224;PF02887	pyruvate kinase	pyk	else
WP_145971926.1	IV	GCF_000009685.1	NC_003366.1	WP_003479007.1	+	464641	464997	NA	CDS	NA	CV	PF07561	DUF1540 domain-containing protein	PF07561	else
WP_145971926.1	IV	GCF_000009685.1	NC_003366.1	WP_004455992.1	+	465305	466102	NA	CDS	NA	NA	PF00106	SDR family NAD(P)-dependent oxidoreductase	PF00106	else
WP_145971926.1	IV	GCF_000009685.1	NC_003366.1	WP_011009765.1	+	466277	467812	NA	CDS	cls	NA	PF13091;PF13396	cardiolipin synthase	cls	else
WP_145971926.1	IV	GCF_000009685.1	NC_003366.1	WP_003479004.1	-	468014	468172	NA	CDS	NA	NA	PF07561	DUF1540 domain-containing protein	PF07561	else
WP_145971926.1	IV	GCF_000009685.1	NC_003366.1	WP_011009766.1	+	468439	470001	NA	CDS	NA	CP	PF00155;PF00392	PLP-dependent aminotransferase family protein	PF00155;PF00392	else
WP_145971926.1	IV	GCF_000009685.1	NC_003366.1	WP_011009767.1	+	470131	471498	NA	CDS	rlmD	VC	PF05958;TIGR02085;COG2265;K03212	23S rRNA (uracil-5-)-methyltransferase RumB	rlmD	else
WP_145971926.1	IV	GCF_000009685.1	NC_003366.1	WP_011009768.1	+	472441	473340	NA	CDS	NA	NA	NA	hypothetical protein	hypothetical protein	else
WP_145971926.1	IV	GCF_000009685.1	NC_003366.1	WP_145971926.1	+	473688	477425	tmn	CDS	NA	NA	PF20693	Tmn	Tmn	tmn
WP_145971926.1	IV	GCF_000009685.1	NC_003366.1	WP_003461121.1	-	477962	478819	NA	CDS	NA	NA	PF02311;PF12833	AraC family transcriptional regulator	PF02311;PF12833	else
WP_145971926.1	IV	GCF_000009685.1	NC_003366.1	WP_003455318.1	+	479008	480276	NA	CDS	NA	CP	PF01547;TIGR03850;K10227;COG2182;PF01547;TIGR03851;COG2182;K10120;PF02030;COG2182;TIGR03850;K17329;PF02030;K05813;TIGR03850;COG2182;PF02030;TIGR03850;COG2182;K10120;PF02030;TIGR03850;K10120;COG2182;PF02030;TIGR03850;K17329;COG2182;PF02030;TIGR03851;COG2182;K10117;PF13416;K10120;TIGR03850;COG2182	carbohydrate ABC transporter substrate-binding protein, CPR_0540 family;carbohydrate ABC transporter, N-acetylglucosamine/diacetylchitobiose-binding protein;Maltose-binding periplasmic protein MalE	PF01547	else
WP_145971926.1	IV	GCF_000009685.1	NC_003366.1	WP_003455606.1	+	480350	481276	NA	CDS	NA	NA	PF00528	carbohydrate ABC transporter permease	PF00528	else
WP_145971926.1	IV	GCF_000009685.1	NC_003366.1	WP_011009770.1	+	481293	482120	NA	CDS	NA	NA	PF00528	carbohydrate ABC transporter permease	PF00528	else
WP_145971926.1	IV	GCF_000009685.1	NC_003366.1	WP_011009771.1	+	482148	484355	NA	CDS	NA	NA	PF02065;PF16874;PF16875	alpha-galactosidase	PF02065;PF16874;PF16875	else
WP_145971926.1	IV	GCF_000009685.1	NC_003366.1	WP_003471554.1	+	484394	486931	NA	CDS	NA	NA	PF00722;PF00754	family 16 glycosylhydrolase	PF00722;PF00754	else
WP_145971926.1	IV	GCF_000009685.1	NC_003366.1	WP_011009772.1	+	487133	487684	NA	CDS	NA	NA	NA	hypothetical protein	hypothetical protein	else
WP_145971926.1	IV	GCF_000009685.1	NC_003366.1	WP_003450094.1	+	487803	488381	NA	CDS	NA	NA	PF00440;PF14278	TetR/AcrR family transcriptional regulator	PF00440;PF14278	else
WP_145971926.1	IV	GCF_000009685.1	NC_003366.1	WP_003450039.1	+	488731	490524	NA	CDS	NA	NA	PF06100	oleate hydratase	PF06100	else
WP_012656144.1	VI	GCF_000010585.1	NC_011999.1	WP_012656132.1	+	218613	219467	NA	CDS	NA	NA	PF00005	energy-coupling factor transporter ATPase	PF00005	else
